Date,Cured,Confirmed,Deaths,Active,daily_cured,daily_confirmed,daily_deaths
2020-01-30,0,1,0,1,,,
2020-01-31,0,1,0,1,0.0,0.0,0.0
2020-02-01,0,2,0,2,0.0,1.0,0.0
2020-02-02,0,3,0,3,0.0,1.0,0.0
2020-02-03,0,3,0,3,0.0,0.0,0.0
2020-02-04,0,3,0,3,0.0,0.0,0.0
2020-02-05,0,3,0,3,0.0,0.0,0.0
2020-02-06,0,3,0,3,0.0,0.0,0.0
2020-02-07,0,3,0,3,0.0,0.0,0.0
2020-02-08,0,3,0,3,0.0,0.0,0.0
2020-02-09,0,3,0,3,0.0,0.0,0.0
2020-02-10,0,3,0,3,0.0,0.0,0.0
2020-02-11,0,3,0,3,0.0,0.0,0.0
2020-02-12,0,3,0,3,0.0,0.0,0.0
2020-02-13,0,3,0,3,0.0,0.0,0.0
2020-02-14,0,3,0,3,0.0,0.0,0.0
2020-02-15,0,3,0,3,0.0,0.0,0.0
2020-02-16,0,3,0,3,0.0,0.0,0.0
2020-02-17,0,3,0,3,0.0,0.0,0.0
2020-02-18,0,3,0,3,0.0,0.0,0.0
2020-02-19,0,3,0,3,0.0,0.0,0.0
2020-02-20,0,3,0,3,0.0,0.0,0.0
2020-02-21,0,3,0,3,0.0,0.0,0.0
2020-02-22,0,3,0,3,0.0,0.0,0.0
2020-02-23,0,3,0,3,0.0,0.0,0.0
2020-02-24,0,3,0,3,0.0,0.0,0.0
2020-02-25,0,3,0,3,0.0,0.0,0.0
2020-02-26,0,3,0,3,0.0,0.0,0.0
2020-02-27,0,3,0,3,0.0,0.0,0.0
2020-02-28,0,3,0,3,0.0,0.0,0.0
2020-02-29,0,3,0,3,0.0,0.0,0.0
2020-03-01,0,3,0,3,0.0,0.0,0.0
2020-03-02,0,5,0,5,0.0,2.0,0.0
2020-03-03,3,6,0,3,3.0,1.0,0.0
2020-03-04,3,28,0,25,0.0,22.0,0.0
2020-03-05,3,30,0,27,0.0,2.0,0.0
2020-03-06,3,31,0,28,0.0,1.0,0.0
2020-03-07,3,34,0,31,0.0,3.0,0.0
2020-03-08,3,39,0,36,0.0,5.0,0.0
2020-03-09,3,46,0,43,0.0,7.0,0.0
2020-03-10,3,58,0,55,0.0,12.0,0.0
2020-03-11,3,60,0,57,0.0,2.0,0.0
2020-03-12,3,74,0,71,0.0,14.0,0.0
2020-03-13,3,81,1,78,0.0,7.0,1.0
2020-03-14,10,84,2,74,7.0,3.0,1.0
2020-03-15,13,110,2,97,3.0,26.0,0.0
2020-03-16,13,114,2,101,0.0,4.0,0.0
2020-03-17,14,137,3,123,1.0,23.0,1.0
2020-03-18,14,151,3,137,0.0,14.0,0.0
2020-03-19,20,173,4,153,6.0,22.0,1.0
2020-03-20,23,223,4,200,3.0,50.0,0.0
2020-03-21,23,283,4,260,0.0,60.0,0.0
